country_full,rank
Afghanistan,154.0
Albania,66.0
Algeria,41.0
American Samoa,188.0
Andorra,152.0
Angola,120.0
Anguilla,210.0
Antigua and Barbuda,132.0
Argentina,3.0
Armenia,92.0
Aruba,202.0
Australia,39.0
Austria,33.0
Azerbaijan,128.0
Bahamas,203.0
Bahrain,85.0
Bangladesh,192.0
Barbados,166.0
Belarus,96.0
Belgium,2.0
Belize,175.0
Benin,91.0
Bermuda,168.0
Bhutan,186.0
Bolivia,81.0
Bosnia and Herzegovina,57.0
Botswana,146.0
Brazil,1.0
British Virgin Islands,209.0
Brunei Darussalam,190.0
Bulgaria,74.0
Burkina Faso,55.0
Burundi,141.0
Cabo Verde,73.0
Cambodia,174.0
Cameroon,38.0
Canada,43.0
Cayman Islands,196.0
Central African Republic,133.0
Chad,181.0
Chile,29.0
China PR,78.0
Chinese Taipei,157.0
Colombia,17.0
Comoros,127.0
Congo,99.0
Congo DR,72.0
Cook Islands,189.0
Costa Rica,34.0
Croatia,15.0
Cuba,167.0
Curaçao,84.0
Cyprus,108.0
Czech Republic,32.0
Côte d'Ivoire,52.0
Denmark,10.0
Djibouti,193.0
Dominica,185.0
Dominican Republic,151.0
Ecuador,44.0
Egypt,40.0
El Salvador,71.0
England,5.0
Equatorial Guinea,98.0
Eritrea,201.0
Estonia,110.0
Eswatini,144.0
Ethiopia,138.0
Faroe Islands,125.0
Fiji,163.0
Finland,59.0
France,4.0
Gabon,79.0
Gambia,124.0
Georgia,82.0
Germany,11.0
Ghana,60.0
Gibraltar,200.0
Greece,49.0
Grenada,171.0
Guam,205.0
Guatemala,118.0
Guinea,83.0
Guinea-Bissau,115.0
Guyana,172.0
Haiti,88.0
Honduras,80.0
Hong Kong,147.0
Hungary,37.0
Iceland,63.0
India,104.0
Indonesia,155.0
Iran,22.0
Iraq,70.0
Israel,76.0
Italy,7.0
Jamaica,62.0
Japan,24.0
Jordan,86.0
Kazakhstan,114.0
Kenya,102.0
Korea DPR,112.0
Korea Republic,28.0
Kosovo,106.0
Kuwait,149.0
Kyrgyz Republic,95.0
Laos,183.0
Latvia,129.0
Lebanon,100.0
Lesotho,145.0
Liberia,150.0
Libya,121.0
Liechtenstein,194.0
Lithuania,142.0
Luxembourg,93.0
Macau,182.0
Madagascar,105.0
Malawi,122.0
Malaysia,148.0
Maldives,156.0
Mali,46.0
Malta,169.0
Mauritania,107.0
Mauritius,180.0
Mexico,12.0
Moldova,177.0
Mongolia,184.0
Montenegro,67.0
Montserrat,178.0
Morocco,23.0
Mozambique,116.0
Myanmar,158.0
Namibia,117.0
Nepal,176.0
Netherlands,8.0
New Caledonia,160.0
New Zealand,103.0
Nicaragua,139.0
Niger,119.0
Nigeria,31.0
North Macedonia,64.0
Northern Ireland,58.0
Norway,36.0
Oman,75.0
Pakistan,195.0
Palestine,94.0
Panama,61.0
Papua New Guinea,161.0
Paraguay,50.0
Peru,21.0
Philippines,134.0
Poland,26.0
Portugal,9.0
Puerto Rico,170.0
Qatar,48.0
Republic of Ireland,47.0
Romania,54.0
Russia,35.0
Rwanda,136.0
Samoa,191.0
San Marino,211.0
Saudi Arabia,53.0
Scotland,45.0
Senegal,18.0
Serbia,25.0
Seychelles,198.0
Sierra Leone,113.0
Singapore,159.0
Slovakia,51.0
Slovenia,65.0
Solomon Islands,137.0
Somalia,204.0
South Africa,68.0
South Sudan,165.0
Spain,6.0
Sri Lanka,207.0
St. Kitts and Nevis,140.0
St. Lucia,173.0
St. Vincent and the Grenadines,179.0
Sudan,130.0
Suriname,143.0
Sweden,20.0
Switzerland,16.0
Syria,89.0
São Tomé and Príncipe,187.0
Tahiti,162.0
Tajikistan,109.0
Tanzania,131.0
Thailand,111.0
Timor-Leste,199.0
Togo,126.0
Tonga,197.0
Trinidad and Tobago,101.0
Tunisia,30.0
Turkmenistan,135.0
Turks and Caicos Islands,206.0
Türkiye,42.0
US Virgin Islands,208.0
USA,14.0
Uganda,90.0
Ukraine,27.0
United Arab Emirates,69.0
Uruguay,13.0
Uzbekistan,77.0
Vanuatu,164.0
Venezuela,56.0
Vietnam,97.0
Wales,19.0
Yemen,153.0
Zambia,87.0
Zimbabwe,123.0
